"authorstr","Year","Source.title","Cited.by"
"Gao H. et al.","2013","Bioorganic and Medicinal Chemistry Letters",88
"Jin M. et al.","2019","Microbiome",86
"Tam N.F.Y.","1998","Environmental Pollution",84
"Wang Y. et al.","2010","Plant and Soil",83
"Cannicci S. et al.","2009","Estuarine, Coastal and Shelf Science",82
"Marchand C. et al.","2012","Chemical Geology",81
"Chen J. et al.","2018","Journal of Hazardous Materials",80
"Yadav A.N. et al.","2015","Annals of Microbiology",80
"Lee L.-H. et al.","2014","International Journal of Systematic and Evolutionary Microbiology",80
"Ser H.-L. et al.","2016","Frontiers in Microbiology",78
"Ye M. et al.","2010","Applied Microbiology and Biotechnology",78
"De Franҫa Í.W.L. et al.","2015","Catalysis Today",76
"Chen J. et al.","2015","Journal of Hazardous Materials",75
"Saravanakumar K. et al.","2013","Aquatic Botany",75
"Ser H.-L. et al.","2016","Scientific Reports",74
"Azman A.-S. et al.","2017","Indian Journal of Microbiology",74
"Tam N.F.Y. and Wong Y.S.","2008","Marine Pollution Bulletin",74
"Li G. et al.","2012","Bioresource Technology",72
"Cabral L. et al.","2016","Environmental Pollution",71
"Xie Q.-Y. et al.","2012","Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology",71
"Lee R.Y. and Joye S.B.","2006","Marine Ecology Progress Series",70
"Ravikumar S. et al.","2004","Journal of Experimental Marine Biology and Ecology",69
"Gleason S.M. and Ewel K.C.","2002","Biotropica",69
"Xie H. et al.","2021","Science of the Total Environment",68
"Mishra R.R. et al.","2012","Journal of Hazardous Materials",68
"Lee R.Y. et al.","2008","Biogeochemistry",68
"Soldan R. et al.","2019","Microbiological Research",67
"Law J.W.-F. et al.","2017","Frontiers in Microbiology",67
"Xie X. et al.","2014","Applied Soil Ecology",67
"Ser H.-L. et al.","2015","Frontiers in Microbiology",65
"Zhang Y. et al.","2012","Journal of Natural Products",65
"Taketani R.G. et al.","2010","Journal of Microbiology",65
"Arora P. et al.","2021","mBio",64
"Tan L.T. et al.","2017","Frontiers in Pharmacology",64
"Gaonkar T. and Bhosle S.","2013","Chemosphere",64
"Bai S. et al.","2013","Applied Microbiology and Biotechnology",63
"Arfi Y. et al.","2012","Fungal Ecology",62
"Cai S. et al.","2011","Journal of Natural Products",61
"Mitra A. et al.","2008","Applied Microbiology and Biotechnology",61
"Heinonsalo J. et al.","2001","FEMS Microbiology Ecology",61
"Kothamasi D. et al.","2006","Biology and Fertility of Soils",61
"Kumar A.P. et al.","2016","3 Biotech",60
"Xu Z. et al.","2014","PLoS ONE",60
"Saranya K. et al.","2018","Journal of Environmental Management",59
"Simões M.F. et al.","2015","Genomics, Proteomics and Bioinformatics",59
"Betancourt D.A. et al.","2008","Applied and Environmental Microbiology",59
"Dias A.C.F. et al.","2010","Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology",58
"Zhuang W. et al.","2020","npj Biofilms and Microbiomes",57
"Menasveta P. et al.","2001","Aquacultural Engineering",57
"Ke L. et al.","2003","Chemosphere",57
"Silva C.S.P. et al.","2014","Systematic and Applied Microbiology",56
"Gao H. et al.","2012","Organic and Biomolecular Chemistry",56
"Wang C. et al.","2011","International Journal of Systematic and Evolutionary Microbiology",56
"Ottoni C.A. et al.","2020","Chemosphere",55
"Xu Y. et al.","2015","Environmental Science and Technology",55
"Yan B. et al.","2006","Journal of Microbiology",55
"Hwanhlem N. et al.","2014","Food Control",54
"Keuskamp J.A. et al.","2015","Soil Biology and Biochemistry",54
"Prasanna L. et al.","2013","Applied Microbiology and Biotechnology",54
"Kathiresan K. and Selvam M.M.","2006","Botanica Marina",54
"Sun H. et al.","2019","Science of the Total Environment",53
"Yin Y. and Yan Z.","2020","Science of the Total Environment",52
"Nathan V.K. et al.","2014","SpringerPlus",52
"Alongi D.M.","2010","Ecology",52
"Basak P. et al.","2016","Genomics Data",51
"Kumar S. et al.","2007","Revista de Biologia Tropical",51
"Gonzalez-Acosta B. et al.","2006","FEMS Microbiology Ecology",51
"Chen M. et al.","2017","Journal of Natural Products",50
"Moreira I.T.A. et al.","2013","Marine Pollution Bulletin",50
"Gao Z. et al.","2010","Applied Microbiology and Biotechnology",50
"Xu X.-R. et al.","2007","Journal of Hazardous Materials",50
"Neto R.R. et al.","2006","Biogeochemistry",50
"Tan L.T.-H. et al.","2019","BMC Microbiology",49
"El-Tarabily K.A.","2002","Canadian Journal of Microbiology",49
"Prakash A.A. et al.","2021","Journal of Hazardous Materials",48
"Zhang M. et al.","2018","Applied Microbiology and Biotechnology",48
"Liu M. et al.","2017","Frontiers in Microbiology",48
"Meng L.-H. et al.","2014","Organic Letters",48
"Zhang Y. et al.","2008","Archives of Microbiology",48
"Wang Q. et al.","2018","Science of the Total Environment",47
"Luo L. and Gu J.-D.","2016","Journal of Environmental Management",47
"Lee L.-H. et al.","2014","International Journal of Systematic and Evolutionary Microbiology",47
"Yang Q. et al.","2014","Marine Pollution Bulletin",46
"Dias A.C.F. et al.","2011","Journal of Soils and Sediments",46
"Chen W. and Wen D.","2021","Environmental Microbiomes",45
"Law J.W.-F. et al.","2019","Scientific Reports",45
"Imchen M. et al.","2017","Scientific Reports",45
"Peixoto R. et al.","2011","Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology",45
"Ye Y. et al.","2001","Marine Pollution Bulletin",45
"Geetha I. and Manonmani A.M.","2010","Letters in Applied Microbiology",44
"Keuskamp J.A. et al.","2013","Soil Biology and Biochemistry",43
"Gowrishankar S. et al.","2014","Research in Microbiology",43
"Ma J. et al.","2021","Chemosphere",42
"Meng L.-H. et al.","2015","Journal of Natural Products",42
"Mendes L.W. and Tsai S.M.","2014","Diversity",41
"Jiang H. et al.","2016","Extremophiles",40
"Chen J. et al.","2016","Science of the Total Environment",40
"Swe A. et al.","2009","Biodiversity and Conservation",40
"Tan L.T.-H. et al.","2018","BioMed Research International",39
"Lee L.-H. et al.","2014","International journal of systematic and evolutionary microbiology",39
"Walker L.R. et al.","1996","Biotropica",39
"Andrade G.R.P. et al.","2018","Geoderma",38
"Ravikumar S. et al.","2007","Journal of Environmental Biology",38
"Liu M. et al.","2019","Scientific Reports",37
