"authorstr","Year","Source.title","Cited.by"
"Du J. et al.","2015","Environmental Science and Pollution Research",9
"Zhang L. et al.","2015","International Journal of Systematic and Evolutionary Microbiology",9
"Li L. and Hong K.","2016","International Journal of Systematic and Evolutionary Microbiology",9
"Soti P.G. et al.","2014","Symbiosis",9
"Subhashini D.V. and Kumar A.V.","2014","Indian Journal of Agricultural Sciences",9
"Sadaba R.B. and Sarinas B.G.S.","2010","Botanica Marina",9
"Kaewwichian R. et al.","2010","FEMS Yeast Research",9
"Zhang Y.-B. et al.","2008","Shengtai Xuebao/ Acta Ecologica Sinica",9
"Tamura T. and Sakane T.","2005","International Journal of Systematic and Evolutionary Microbiology",9
"He M. et al.","2022","Ecotoxicology and Environmental Safety",8
"Pohl L. et al.","2021","Geoderma",8
"Marques N.S.A.A. et al.","2020","Biomolecules",8
"Shen N. et al.","2020","Journal of Ocean University of China",8
"Lu Q.-P. et al.","2019","Antibiotics",8
"Karthik Y. et al.","2020","Biomedicine (India)",8
"Ramírez-Viga T. et al.","2020","Wetlands",8
"Ding L. and Hertweck C.","2020","Journal of Natural Products",8
"Kayalvizhi K. and Kathiresan K.","2019","Biocatalysis and Agricultural Biotechnology",8
"Ma K. et al.","2018","International Journal of Systematic and Evolutionary Microbiology",8
"Kunthiphun S. et al.","2019","Mycoscience",8
"Luo L. et al.","2016","International Biodeterioration and Biodegradation",8
"Ramasubburayan R. et al.","2017","Proceedings of the National Academy of Sciences India Section B - Biological Sciences",8
"Davies T.K.R. et al.","2017","Soil Biology and Biochemistry",8
"Arumugam T. and Senthil Kumar P.","2017","Journal of Microbiological Methods",8
"Verma A. et al.","2017","International Journal of Systematic and Evolutionary Microbiology",8
"Azman A.-S. et al.","2016","International Journal of Systematic and Evolutionary Microbiology",8
"Geetha I. et al.","2014","Indian Journal of Medical Research",8
"Zhang D.-C. and Margesin R.","2015","International Journal of Systematic and Evolutionary Microbiology",8
"Mangamuri U.K. et al.","2015","Journal of Microbiology and Biotechnology",8
"Luglia M. et al.","2014","Microbial Ecology",8
"Anburaj R. et al.","2012","Russian Journal of Plant Physiology",8
"Mitra A. et al.","2011","World Journal of Microbiology and Biotechnology",8
"Scherrer P. and Mille G.","1990","Oil and Chemical Pollution",8
"Vijayagopal V. and Viruthagiri T.","2005","Pollution Research",8
"Lin Y. et al.","2022","Science of the Total Environment",7
"Meng H. et al.","2022","Science of the Total Environment",7
"Thomson T. et al.","2022","Microbiology Spectrum",7
"do Carmo Linhares D. et al.","2021","Microbial Ecology",7
"Trevathan-Tackett S.M. et al.","2021","Science of the Total Environment",7
"Tavares T.C.L. et al.","2021","Frontiers in Microbiology",7
"Padhy S.R. et al.","2022","Journal of Environmental Management",7
"Khan A.L. et al.","2022","Journal of Hazardous Materials",7
"Tang R. et al.","2021","Current Microbiology",7
"Sarveswari H.B. et al.","2020","Frontiers in Microbiology",7
"Chantarasiri A.","2020","International Journal of Environmental Research and Public Health",7
"Khan S.A. et al.","2020","Pakistan Journal of Botany",7
"Huang H. et al.","2018","International Journal of Systematic and Evolutionary Microbiology",7
"Hu D. et al.","2019","Scientific Reports",7
"Tran H.-T. et al.","2019","BMC Genomics",7
"Nathan V.K. and Ammini P.","2019","Water, Air, and Soil Pollution",7
"Iniyan A.M. et al.","2017","Proceedings of the National Academy of Sciences India Section B - Biological Sciences",7
"Thongjun J. et al.","2016","Annals of Microbiology",7
"Saba Y. et al.","2016","Asian Journal of Pharmaceutical and Clinical Research",7
"Prakash S. et al.","2015","Environmental Monitoring and Assessment",7
"Yin M. et al.","2015","Genome Announcements",7
"Tang Y.-L. et al.","2013","International Journal of Systematic and Evolutionary Microbiology",7
"Audipudi A.V. et al.","2013","International Journal of ChemTech Research",7
"Suriyachadkun C. et al.","2011","International Journal of Systematic and Evolutionary Microbiology",7
"Lelmen K.E. et al.","2010","Plant Biotechnology",7
"de Freitas A.G. and Carvalho M.A.","2011","Revista Brasileira de Paleontologia",7
"Wang Y.K. and Hong K.","2005","Wei sheng wu xue bao = Acta microbiologica Sinica",7
"Yuan B. et al.","2022","Ecotoxicology and Environmental Safety",6
"Sepúlveda-Correa A. et al.","2021","Marine Pollution Bulletin",6
"Mohamed Zubi W.S. et al.","2021","Microorganisms",6
"Mai Z. et al.","2022","Science of the Total Environment",6
"Palacios M.M. et al.","2021","Marine Pollution Bulletin",6
"Baskaran V. and Prabavathy V.R.","2022","Archives of Microbiology",6
"Hamed M.M. et al.","2021","Journal of Pure and Applied Microbiology",6
"Wei P. et al.","2021","Marine Pollution Bulletin",6
"Vieira-Neta M.R.A. et al.","2021","Brazilian Journal of Biology",6
"Craig H. et al.","2020","Ecology and Evolution",6
"Ma J. et al.","2020","Applied Sciences (Switzerland)",6
"Zhang Q.-F. and Laanbroek H.J.","2020","FEMS Microbiology Ecology",6
"Saravanakumar K. et al.","2018","Physiological and Molecular Plant Pathology",6
"Arumugam T. et al.","2018","Microbial Pathogenesis",6
"Dealtry S. et al.","2018","Brazilian Journal of Microbiology",6
"Ketipally R. et al.","2019","Journal of Applied and Natural Science",6
"Lipun K. et al.","2019","Journal of Antibiotics",6
"Buatong J. et al.","2019","Journal of Pure and Applied Microbiology",6
"Chen C. et al.","2019","International Journal of Systematic and Evolutionary Microbiology",6
"Hamada M. et al.","2018","Archives of Microbiology",6
"Dias A.C.F. et al.","2018","Microbial Ecology",6
"Zheng J. et al.","2017","Shengtai Xuebao",6
"Ito N. et al.","2017","Genes and Genetic Systems",6
"Xie Q.-Y. et al.","2016","Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology",6
"Ismail Z. et al.","2017","Current Science",6
"Ruan C.-Y. et al.","2015","Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology",6
"Bhattacharya S. et al.","2015","Journal of Scientific and Industrial Research",6
"Sá A.L.B. et al.","2014","Brazilian Journal of Microbiology",6
"Xu X.-X. et al.","2011","International Journal of Systematic and Evolutionary Microbiology",6
"Tariq M. et al.","2008","Turkish Journal of Botany",6
"Kannan P. et al.","2009","Indian Journal of Biochemistry and Biophysics",6
"Ando Y. et al.","2001","Applied Biochemistry and Biotechnology - Part A Enzyme Engineering and Biotechnology",6
"Tanaka K. et al.","1998","Japan Agricultural Research Quarterly",6
"Wu Y. et al.","2022","Environmental Pollution",5
"Das N. and Mandal S.","2022","Acta Ecologica Sinica",5
"Kulkarni R. et al.","2022","Aquaculture",5
"Shiau Y.-J. et al.","2021","Forests",5
"Zhang M. et al.","2022","International Biodeterioration and Biodegradation",5
"Moreira I.S. et al.","2021","Biodegradation",5
"Deepika S. and Kothamasi D.","2021","Mycorrhiza",5
"Nóbrega M.S. et al.","2022","Science of the Total Environment",5
"Nurdiani R. et al.","2022","PeerJ",5
"Gaonkar S. and Rodrigues B.F.","2020","Wetlands Ecology and Management",5
"Xie Y. et al.","2020","International Journal of Systematic and Evolutionary Microbiology",5
"Xu D. et al.","2020","Marine Drugs",5
"Manivel G. et al.","2020","Gene Reports",5
"Fu G. et al.","2020","Scientific Reports",5
"Das D. et al.","2020","Biocatalysis and Agricultural Biotechnology",5
"Suresh R.S.S. et al.","2020","Journal of King Saud University - Science",5
"Rajan L. et al.","2021","Archives of Microbiology",5
"Das S. et al.","2020","Regional Studies in Marine Science",5
"Ayed A.B. et al.","2021","Journal of Fungi",5
"Ye Y. et al.","2020","Frontiers in Microbiology",5
"Luo Y.-H. et al.","2020","Zhongguo Huanjing Kexue/China Environmental Science",5
"Du J. et al.","2021","International Journal of Systematic and Evolutionary Microbiology",5
"Jagadeesan Y. et al.","2019","RSC Advances",5
"Yin Q. et al.","2018","International Journal of Systematic and Evolutionary Microbiology",5
"Ratnayake A.S. et al.","2019","Journal of the National Science Foundation of Sri Lanka",5
"Ubogu M. et al.","2019","Brazilian Journal of Microbiology",5
"Gomathi A. and Gothandam K.M.","2019","Journal of Cellular Biochemistry",5
"Yao Q. et al.","2017","Chinese Journal of Applied and Environmental Biology",5
"Hu W. et al.","2015","Pakistan Journal of Botany",5
"Indupalli M.D. et al.","2015","International Journal of Pharmacy and Pharmaceutical Sciences",5
"Kharangate-Lad A. et al.","2016","Environmental Science and Pollution Research",5
"Vasconcellos R.L.F. et al.","2013","Genome Announcements",5
"Nazim K. et al.","2013","Turkish Journal of Botany",5
"Ren J. et al.","2012","Wei sheng wu xue bao = Acta microbiologica Sinica",5
"Selvam M.M. and Kathiresan K.","2010","Asian Journal of Microbiology, Biotechnology and Environmental Sciences",5
"Yuan K.P. et al.","2005","Wei sheng wu xue bao = Acta microbiologica Sinica",5
"Dinesh R. et al.","2006","Current Science",5
"Routray T.K. et al.","1996","Journal of Environmental Biology",5
"Panchanadikar V.V.","1993","International Journal of Environmental Studies",5
"Adnan M. et al.","2022","Polymers",4
"Dey G. et al.","2022","Marine Pollution Bulletin",4
"Liang C. et al.","2023","Science of the Total Environment",4
"Muñoz-García A. et al.","2022","Marine Pollution Bulletin",4
"Zhang Z. et al.","2022","Microbiology Spectrum",4
"Ghosh A. et al.","2022","PeerJ",4
"Law J.W.-F. et al.","2023","Progress in Microbes and Molecular Biology",4
"Kaleh A.M. et al.","2022","Microbiological Research",4
"Kumar U. et al.","2022","Frontiers in Environmental Science",4
"Mohy Eldin A. et al.","2022","Process Biochemistry",4
"Zwar I.P. et al.","2023","Journal of Basic Microbiology",4
"Kailasam S. et al.","2022","International Journal of Biological Macromolecules",4
"Isaza J.P. et al.","2021","Regional Studies in Marine Science",4
"He S. et al.","2022","Marine Drugs",4
"Oliveira V.M. et al.","2022","Biota Neotropica",4
"Mo X. et al.","2021","Water (Switzerland)",4
"Kadaikunnan S. et al.","2021","Saudi Journal of Biological Sciences",4
"Su Y.-S. et al.","2021","Chemistry and Biodiversity",4
"Chuvochina M. et al.","2021","Science of the Total Environment",4
"Liu Y. et al.","2021","Current Microbiology",4
"Fitri S.G.S. et al.","2021","Biodiversitas",4
"Ramírez-Viga T.K. et al.","2020","Botanical Sciences",4
"Lam M.Q. et al.","2020","International Journal of Systematic and Evolutionary Microbiology",4
"Martínez-Hernández I.A. et al.","2021","Water, Air, and Soil Pollution",4
"Sayi D.S. et al.","2020","Research Journal of Chemistry and Environment",4
"Chantarasiri A.","2021","Biodiversitas",4
"Qureshi K.A. et al.","2020","Journal of Environmental Biology",4
"Anggelina A.C. et al.","2021","Environment and Natural Resources Journal",4
"Chanama S. et al.","2018","International Journal of Systematic and Evolutionary Microbiology",4
"Wang K.-L. et al.","2018","International Journal of Systematic and Evolutionary Microbiology",4
"Manimaran M. and Kannabiran K.","2018","Research Journal of Pharmacy and Technology",4
"Chatterjee S. et al.","2018","Proceedings of the National Academy of Sciences India Section B - Biological Sciences",4
"Karthikeyan A. and Sivapriya N.B.","2018","Journal of Forestry Research",4
"Huang H. et al.","2018","International Journal of Systematic and Evolutionary Microbiology",4
"Yang H.S. et al.","2016","Shengtai Xuebao",4
"Grativol A.D. et al.","2017","Marine Pollution Bulletin",4
"Zhang D.S. et al.","2015","Shengtai Xuebao",4
"Chatterjee S. et al.","2015","International Journal of Pharma and Bio Sciences",4
"Chakraborty R.D. et al.","2015","Indian Journal of Geo-Marine Sciences",4
"Guillén-Navarro K. et al.","2015","Folia Microbiologica",4
"Wang Y. et al.","2015","International Journal of Systematic and Evolutionary Microbiology",4
"Fang Y. et al.","2012","International Journal of Phytoremediation",4
"dos Santos A.C. et al.","2012","Genetics and molecular research : GMR",4
"Marcon J. et al.","2014","Genome Announcements",4
"Ravikumar S. et al.","2012","Journal of Environmental Biology",4
"Saleem Khan A. et al.","2009","Journal of Environmental Biology",4
"Kanimozhi G. and Panneerselvam A.","2010","Asian Journal of Microbiology, Biotechnology and Environmental Sciences",4
"Valentin Bhimba B. et al.","2011","Indian Journal of Natural Products and Resources",4
"Zakaria L. et al.","2010","Tropical Life Sciences Research",4
"Shome B.R. et al.","2000","Current Science",4
"El-Morsy E.-S.M.","2005","Land Contamination and Reclamation",4
"Li K. and Gu J.","2005","Chinese Journal of Applied Ecology",4
"Shaukat S.S. et al.","2003","Phytopathologia Mediterranea",4
"Quintero I.J. et al.","2022","Microorganisms",3
"Pusparajah P. et al.","2023","Progress in Microbes and Molecular Biology",3
"Jeyaraj A. and Subramanian S.","2022","BioMetals",3
"Leng Z. et al.","2022","Marine Pollution Bulletin",3
"Chen J. et al.","2023","Soil Ecology Letters",3
"Zhang G. et al.","2023","Catena",3
"Patki J.M. et al.","2021","Brazilian Journal of Pharmaceutical Sciences",3
"Song M.-M. et al.","2022","Natural Product Research",3
"Li F. et al.","2021","Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology",3
"Padhy S.R. et al.","2022","Geomicrobiology Journal",3
"Ye Y. et al.","2020","Current Microbiology",3
"Ser H.-L. et al.","2020","Progress in Microbes and Molecular Biology",3
"El-Gayar K.E. et al.","2020","Polish Journal of Environmental Studies",3
"Yin X. et al.","2020","Huanjing Kexue Xuebao/Acta Scientiae Circumstantiae",3
"Damayanti E. et al.","2021","Biodiversitas",3
"Jeyanny V. et al.","2020","Journal of Tropical Forest Science",3
"Shaheer P. et al.","2021","Diseases of Aquatic Organisms",3
"Song Z.-M. et al.","2020","International Journal of Systematic and Evolutionary Microbiology",3
"Das S. et al.","2021","Geomicrobiology Journal",3
"Sengupta S. et al.","2020","Regional Studies in Marine Science",3
"Li P. et al.","2019","Canadian Journal of Microbiology",3
"Kuswytasari N.D. et al.","2019","Biodiversitas",3
"Mendoza L.F.D. et al.","2019","Journal of Pure and Applied Microbiology",3
"Wang R. et al.","2018","Current Microbiology",3
"Manjoo R. et al.","2017","Current Microbiology",3
"Prasanna L. et al.","2017","Genome Announcements",3
"Wu S. et al.","2016","Chinese Journal of Applied and Environmental Biology",3
"Xu C. et al.","2015","Wei sheng wu xue bao = Acta microbiologica Sinica",3
"Azmat R. et al.","2015","Recent Patents on Biotechnology",3
"Hamada M. et al.","2015","Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology",3
"George D.S. and Ong C.-B.","2014","Biotechnologia",3
"Baskar B. and Prabakaran P.","2011","Research Journal of Pharmaceutical, Biological and Chemical Sciences",3
"Kannan P. et al.","2006","Indian Journal of Biochemistry and Biophysics",3
"Ando Y. et al.","2001","Bioresource Technology",3
"Qian Z. et al.","2022","Journal of Environmental Management",2
"Ma K. et al.","2022","Frontiers in Marine Science",2
"Biswas M. et al.","2022","Proceedings of the Zoological Society",2
"Wu L. et al.","2022","Geoderma",2
"Karthik Y. and Kalyani M.I.","2023","Journal of Basic Microbiology",2
"Loiola M. et al.","2023","Science of the Total Environment",2
"Zhao L. et al.","2023","Chemosphere",2
"Chathalingath N. et al.","2023","Microbiological Research",2
"Hurtado-McCormick V. et al.","2022","Microorganisms",2
"Lu K. et al.","2022","Sustainability (Switzerland)",2
"Nimnoi P. and Pongsilp N.","2022","Biology",2
"Chen M.-S. et al.","2021","Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology",2
"Handayani D.P. et al.","2022","Marine Biotechnology",2
"Mai Z. et al.","2021","Biochemical and Biophysical Research Communications",2
"Riesco R. et al.","2022","Frontiers in Plant Science",2
"Thomson T. et al.","2022","Frontiers in Ecology and Evolution",2
"Arun R.K. et al.","2021","ChemistrySelect",2
"Ivaldi C. et al.","2021","Microorganisms",2
"Li M. et al.","2021","Archives of Microbiology",2
"Wang F. et al.","2022","Fundamental Research",2
"Klinfoong R. et al.","2022","Biodiversitas",2
"Akaji Y. et al.","2022","Plant and Soil",2
"Feng C. et al.","2022","Forests",2
"Gaonkar S. and Rodrigues B.F.","2021","Tropical Ecology",2
"Behera B.C. et al.","2021","Novel Research in Microbiology Journal",2
"Mo K.-L. et al.","2020","International Journal of Systematic and Evolutionary Microbiology",2
"Verma A. et al.","2021","International Journal of Systematic and Evolutionary Microbiology",2
"Patkar S. et al.","2021","Biotechnologia",2
"Palla M.S. et al.","2020","SN Applied Sciences",2
"Sahoo S.R. et al.","2019","Indian Journal of Pharmaceutical Sciences",2
"Shi S.-B. et al.","2019","International Journal of Systematic and Evolutionary Microbiology",2
"De Araújo J.E. et al.","2018","Microbiology Resource Announcements",2
"Ravelo F.N. et al.","2019","Revista Geografica Venezolana",2
"Xie Q.-Y. et al.","2018","Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology",2
"Wu Y. et al.","2017","Chinese Pharmacological Bulletin",2
"Ali M.K.F.B.M. et al.","2016","Journal of Engineering Science and Technology",2
"Hu W. et al.","2015","Zhongshan Daxue Xuebao/Acta Scientiarum Natralium Universitatis Sunyatseni",2
"Liu Y. et al.","2015","Shengtai Xuebao",2
"Gopalakrishnan S. et al.","2016","Advances in Animal and Veterinary Sciences",2
"Tang J. et al.","2014","Current Microbiology",2
"Genthner F.J. et al.","2013","Wetlands Ecology and Management",2
"Tariq M. and Dawar S.","2013","Archives of Phytopathology and Plant Protection",2
"Shimoda T. et al.","2009","Japan Agricultural Research Quarterly",2
"Lu J.-K. et al.","2008","Forest Research",2
"Gan H. et al.","2010","Chinese Journal of Applied and Environmental Biology",2
"Rani C. and Panneerselvam A.","2010","Journal of Pure and Applied Microbiology",2
"Ohimain E.I.","2011","International Journal of Environment and Sustainable Development",2
"Pallavi et al.","2023","Frontiers in Plant Science",1
"Zhao J. et al.","2023","Science of the Total Environment",1
"Kamaneewan N. et al.","2022","Journal of Fisheries and Environment",1
"Mamidala H.P. et al.","2023","Journal of Environmental Management",1
"Yang S.-Q. et al.","2023","Natural Product Research",1
"Ambust S. et al.","2022","Marine Pollution Bulletin",1
"Saelee R. et al.","2022","Agriculture and Natural Resources",1
"Shi S. et al.","2022","Archives of Microbiology",1
"Meng S. et al.","2022","Applied Microbiology and Biotechnology",1
"Yan Z. et al.","2022","Science of the Total Environment",1
"Karthik Y. et al.","2023","Frontiers in Microbiology",1
"Velmurugan A. et al.","2022","Tropical Ecology",1
"Liang Y.-Y. et al.","2022","Frontiers in Microbiology",1
"Barbuddhe S.B. et al.","2022","Environmental Microbiology",1
"Manikkam R. et al.","2023","Applied Biochemistry and Biotechnology",1
"Lin L. et al.","2023","Science of the Total Environment",1
"Modi A. et al.","2022","Environmental Science and Pollution Research",1
"Ding X. et al.","2023","Catena",1
"Sharma R.A. and Jagtap P.K.","2022","Journal of Water and Environmental Nanotechnology",1
"Zhang G. et al.","2022","Ecological Applications",1
"Sukmawati S. et al.","2022","Biodiversitas",1
"Pérez M.U. et al.","2022","Granja",1
"Seydametova E. and Zainol N.","2021","Current Research in Microbial Sciences",1
"Asha K. and Bhadury P.","2021","Archives of Microbiology",1
"Cai H. et al.","2022","International Journal of Systematic and Evolutionary Microbiology",1
"Dewiyanti I. et al.","2022","Biodiversitas",1
"Pei S. et al.","2021","Archives of Microbiology",1
"Mo S. et al.","2021","Water (Switzerland)",1
"Liu M. et al.","2022","Oceanologia et Limnologia Sinica",1
"Irinyi L. et al.","2022","Medical Mycology",1
"Ravi K. and Mukkavilly R.R.","2020","Research Journal of Biotechnology",1
"Wang R. et al.","2020","International Journal of Systematic and Evolutionary Microbiology",1
"López-Jiménez J.G. et al.","2019","Revista de Biologia Tropical",1
"Zhu P. et al.","2020","International Journal of Systematic and Evolutionary Microbiology",1
"Jeyanny V. et al.","2021","Journal of Tropical Forest Science",1
"Surtiningsih T. et al.","2020","Ecology, Environment and Conservation",1
"Alami N.H. et al.","2019","Biodiversitas",1
"Naradala P.R. et al.","2016","Asian Journal of Pharmaceutical and Clinical Research",1
"Satapathy S. and Mohapatra S.","2015","Journal of Pure and Applied Microbiology",1
"Indupalli M.D. et al.","2016","Asian Journal of Pharmaceutical and Clinical Research",1
"Akinkunmi W.A. et al.","2015","Malaysian Journal of Microbiology",1
"Leyeza E.B. et al.","2014","Philippine Agricultural Scientist",1
"Sugana Rani K. and Prasada Rao P.V.V.","2012","Journal of Pure and Applied Microbiology",1
"Sivasubramani K. et al.","2012","International Journal of Pharma and Bio Sciences",1
"Miao C. et al.","2008","Shengwu Gongcheng Xuebao/Chinese Journal of Biotechnology",1
"Gilna V.V. and Khaleel K.M.","2011","Asian Journal of Microbiology, Biotechnology and Environmental Sciences",1
"Long M. et al.","2011","Journal of Bacteriology",1
"Kumar P.A. et al.","2007","World Journal of Microbiology and Biotechnology",1
"Volz P.A. and Jerger D.E.","1972","Mycopathologia et Mycologia Applicata",1
"Ghosh M. and Choudhury A.","1987","Proceedings: Animal Sciences",1
"Panchanadikar V.V.","1993","International Journal of Environmental Studies",1
"Masuchi Y.","1998","Microbes and Environments",1
"Kachanuban K. et al.","2022","Journal of Fisheries and Environment",0
"Guo Z. et al.","2023","Science of the Total Environment",0
"Ye J.-J. et al.","2023","Frontiers in Microbiology",0
"Liu Y. et al.","2023","International Journal of Systematic and Evolutionary Microbiology",0
"Xu B. et al.","2023","Letters in Applied Microbiology",0
"Min L. et al.","2023","Frontiers in Microbiology",0
"Tian C. et al.","2023","Catena",0
"Bamrungpanichtavorn T. et al.","2023","Biodiversitas",0
"Solano-Arguedas A.F. et al.","2022","Geochemical Transactions",0
"Xu S. et al.","2023","International Journal of Systematic and Evolutionary Microbiology",0
"Song S. et al.","2023","MycoKeys",0
"Dasgupta A. et al.","2023","Archives of Microbiology",0
"Lam M.Q. et al.","2022","Genes",0
"Ren L. et al.","2023","Marine Pollution Bulletin",0
"Chen M. et al.","2023","Chemistry of Natural Compounds",0
"Dewiyanti I. et al.","2023","International Journal of Design and Nature and Ecodynamics",0
"Creencia A.R. et al.","2022","Journal of the International Society for Southeast Asian Agricultural Sciences",0
"He Y. et al.","2022","Journal of Soil Science and Plant Nutrition",0
"Yang S.R. et al.","2023","Microbiology (Russian Federation)",0
"Wang K. et al.","2023","Microbiology Spectrum",0
"Chequer L.P.T. et al.","2022","3 Biotech",0
"Chen Y. et al.","2023","Science of the Total Environment",0
"Fatimah et al.","2023","Biodiversitas",0
"Ji R.-N. et al.","2023","Chemistry of Natural Compounds",0
"Hao B.-C. et al.","2023","Natural Product Research",0
"Huo R. et al.","2022","Frontiers in Marine Science",0
"Zhang Z.-F. et al.","2023","Microbiome",0
"Ma J. et al.","2023","Marine Pollution Bulletin",0
"Tang R. et al.","2023","Current Microbiology",0
"Octaviana S. et al.","2023","Current Microbiology",0
"Li F. et al.","2023","Journal of Antibiotics",0
"Tan M.C.Y. et al.","2023","Archives of Microbiology",0
"Godbole A.P. et al.","2023","Indian Journal of Pharmaceutical Education and Research",0
"Li X. et al.","2022","Atmosphere",0
"Trevathan-Tackett S.M. et al.","2023","Estuarine, Coastal and Shelf Science",0
"Qu W. et al.","2022","Acta Oceanologica Sinica",0
"Bushra R. et al.","2023","Biocatalysis and Agricultural Biotechnology",0
"Hong C.W.L. et al.","2023","Microbiology Resource Announcements",0
"Lam K.-L. et al.","2023","Marine Pollution Bulletin",0
"Liu N. et al.","2023","Huanjing Kexue Xuebao/Acta Scientiae Circumstantiae",0
"Zhen C. et al.","2023","Archives of Microbiology",0
"Kenya E. et al.","2022","Heliyon",0
"Yang X. et al.","2023","Microbiology Spectrum",0
"Liu D.-X. et al.","2022","Frontiers in Marine Science",0
"Karthik Y. et al.","2023","Frontiers in Microbiology",0
"Akshatha S.J. and Kalyani M.I.","2022","Journal of Pure and Applied Microbiology",0
"Prathyusha A.M.V.N. et al.","2022","Journal of Applied Biology and Biotechnology",0
"Khan S.A. et al.","2022","Pakistan Journal of Botany",0
"Chand Basha S.K. et al.","2021","Ecology, Environment and Conservation",0
"Lin Y. et al.","2022","Journal of Agro-Environment Science",0
"Khot S. et al.","2021","Journal of Applied Biotechnology Reports",0
"Bag S. et al.","2022","Marine Biology Research",0
"Zan Z.-Y. et al.","2022","Current Microbiology",0
"Akshatha S.J. et al.","2022","Indian Journal of Natural Products and Resources",0
"Seydametova E.","2022","South-Western Journal of Horticulture, Biology and Environment",0
"Jalan R. et al.","2022","Research Journal of Pharmacy and Technology",0
"Mishra R.C. et al.","2022","Mycological Progress",0
"Kailasam S. et al.","2021","Journal of the American Leather Chemists Association",0
"Merheb M. et al.","2022","Open Biotechnology Journal",0
"Sun N. et al.","2021","Biotechnology and Biotechnological Equipment",0
"Duy N.D. et al.","2021","Asian Journal of Agriculture and Biology",0
"Zhou Z. et al.","2021","Frontiers in Microbiology",0
"Osadebe A.U. et al.","2021","Environment and Natural Resources Journal",0
"Fatimah et al.","2020","Annals of Biology",0
"Luo Q. et al.","2020","Huanjing Kexue/Environmental Science",0
"Hidayatullah A.R. et al.","2020","Ecology, Environment and Conservation",0
"Lima D.X. et al.","2020","Acta Botanica Brasilica",0
"Ye J.-J. et al.","2020","Chinese Pharmacological Bulletin",0
"Dong S.-J. et al.","2020","Applied Microbiology and Biotechnology",0
"Rodríguez N.C. et al.","2020","Revista de Biologia Tropical",0
"Sriphirom P. et al.","2021","Chemical Engineering Transactions",0
"Olumuyiwa E. et al.","2020","Journal of Microbiology, Biotechnology and Food Sciences",0
"Creencia A.R. et al.","2020","Philippine Agricultural Scientist",0
"Idris N.A. et al.","2019","Malaysian Applied Biology",0
"Vijaya Kumari B. et al.","2019","Asian Journal of Chemistry",0
"Sengupta S. et al.","2018","Genome Announcements",0
"Sweetline C. and Usha R.","2018","Asian Journal of Pharmaceutical and Clinical Research",0
"Rattanaloeadnusorn S.","2017","International Journal of GEOMATE",0
"Prihanto A.A. and Nursyam H.","2018","Asian Journal of Agriculture and Biology",0
"Janaki T.","2017","Asian Journal of Pharmaceutical and Clinical Research",0
"Rosly S.A. et al.","2014","Asian Pacific Journal of Tropical Disease",0
"Lakra P.B. et al.","2014","Journal of Pure and Applied Microbiology",0
"Satapathy S. and Mohapatra S.","2016","Asian Journal of Microbiology, Biotechnology and Environmental Sciences",0
"Singh N.K. et al.","2014","Genomics Data",0
"Zhang M. et al.","2012","Chinese Journal of Applied and Environmental Biology",0
"Uma Maheswari N. and Soundariya S.","2012","Journal of Chemical and Pharmaceutical Research",0
"Hari Babu K. et al.","2012","International Journal of Pharma and Bio Sciences",0
"Ye M. et al.","2013","Biotechnology",0
"Bandopadhyay P.","2014","International Journal of Pharmacy and Pharmaceutical Sciences",0
"Liu B. et al.","2013","Chinese Journal of Pharmaceutical Biotechnology",0
"Kamathe S. and Raut S.V.","2014","International Journal of Pharma and Bio Sciences",0
"Yang Q. et al.","2013","Chinese Journal of Ecology",0
"Kannan P. et al.","2009","Indian Journal of Geo-Marine Sciences",0
"Jiang Y.-X. and Zheng T.-L.","2007","Huanjing Kexue/Environmental Science",0
"Eduok S.I. et al.","2010","International Journal of Applied Environmental Sciences",0
"Kathiresan K.","2004","Journal of Environmental Biology",0
"Djuwansah M.R. and Marius C.","1988","Cahiers - ORSTOM, Serie Pedologie",0
"Murugesh S. et al.","2003","Indian Journal of Environmental Protection",0
"Kumaresan V. and Suryanarayanan T.S.","2000","Water Resources Management",0
"Bhathena Z.P. et al.","2002","Pollution Research",0
